"fareaId","farea","roleId","role"
1,"Accounts / Finance / Tax / CS / Audit",1.01,"Accounts Exec./Accountant"
1,"Accounts / Finance / Tax / CS / Audit",1.02,"Cost Accountant"
1,"Accounts / Finance / Tax / CS / Audit",1.03,"Taxation(Direct) Mgr"
1,"Accounts / Finance / Tax / CS / Audit",1.04,"Taxation(Indirect) Mgr"
1,"Accounts / Finance / Tax / CS / Audit",1.05,"Accounts Mgr"
1,"Accounts / Finance / Tax / CS / Audit",1.06,"Financial Accountant"
1,"Accounts / Finance / Tax / CS / Audit",1.07,"ICWA"
1,"Accounts / Finance / Tax / CS / Audit",1.08,"Chartered Accountant"
1,"Accounts / Finance / Tax / CS / Audit",1.09,"Finance Exec."
1,"Accounts / Finance / Tax / CS / Audit",1.1,"Credit/Control Exec."
1,"Accounts / Finance / Tax / CS / Audit",1.11,"Investor Relationship-Exec./Mgr"
1,"Accounts / Finance / Tax / CS / Audit",1.12,"Credit/Control Mgr"
1,"Accounts / Finance / Tax / CS / Audit",1.13,"Financial Analyst"
1,"Accounts / Finance / Tax / CS / Audit",1.14,"Audit Mgr"
1,"Accounts / Finance / Tax / CS / Audit",1.15,"Forex Mgr"
1,"Accounts / Finance / Tax / CS / Audit",1.16,"Treasury Mgr"
1,"Accounts / Finance / Tax / CS / Audit",1.17,"Finance/Budgeting Mgr"
1,"Accounts / Finance / Tax / CS / Audit",1.18,"Head/VP/GM-Finance/Audit"
1,"Accounts / Finance / Tax / CS / Audit",1.19,"Head/VP/GM-Accounts"
1,"Accounts / Finance / Tax / CS / Audit",1.2,"Head/VP/GM-CFO/Financial Controller"
1,"Accounts / Finance / Tax / CS / Audit",1.21,"Head/VP/GM-Regulatory Affairs"
1,"Accounts / Finance / Tax / CS / Audit",1.22,"Company Secretary"
1,"Accounts / Finance / Tax / CS / Audit",1.23,"Outside Consultant"
1,"Accounts / Finance / Tax / CS / Audit",1.24,"Fresher"
1,"Accounts / Finance / Tax / CS / Audit",1.26,"Trainee"
,,,
6,"Banking / Insurance",6.01,"Cust. Service Exec."
6,"Banking / Insurance",6.02,"Cust. Service Mgr"
6,"Banking / Insurance",6.03,"Collections Officer"
6,"Banking / Insurance",6.04,"Collections Mgr"
6,"Banking / Insurance",6.05,"CRM/Phone/Internet Banking Exec."
6,"Banking / Insurance",6.06,"Sales Officer"
6,"Banking / Insurance",6.07,"Credit Officer"
6,"Banking / Insurance",6.08,"Branch Mgr"
6,"Banking / Insurance",6.09,"Regional Mgr"
6,"Banking / Insurance",6.1,"National Head"
6,"Banking / Insurance",6.11,"Asset Operations/Documentation-Exec./Mgr"
6,"Banking / Insurance",6.12,"Domestic Private Banking-Exec./Mgr"
6,"Banking / Insurance",6.13,"Product Mgr-Auto/Home Loans"
6,"Banking / Insurance",6.14,"Cards-Sales Officer/Exec."
6,"Banking / Insurance",6.15,"Cards Operations Exec."
6,"Banking / Insurance",6.16,"Cards Operations Mgr"
6,"Banking / Insurance",6.17,"Collections Exec."
6,"Banking / Insurance",6.18,"Card Approvals Officer"
6,"Banking / Insurance",6.19,"Merchant Acquisition Exec."
6,"Banking / Insurance",6.2,"Business Alliances Mgr"
6,"Banking / Insurance",6.21,"Product Mgr-Cards"
6,"Banking / Insurance",6.22,"Back Office Exec."
6,"Banking / Insurance",6.23,"Money Markets Dealer"
6,"Banking / Insurance",6.24,"Forex Dealer"
6,"Banking / Insurance",6.25,"Sales/BD Mgr-Forex"
6,"Banking / Insurance",6.26,"Forex Operations Mgr"
6,"Banking / Insurance",6.27,"Debt Instrument Dealer"
6,"Banking / Insurance",6.28,"Sales/BD Mgr-Debt Instruments"
6,"Banking / Insurance",6.29,"Debt Operations Mgr"
6,"Banking / Insurance",6.3,"Derivatives Dealer"
6,"Banking / Insurance",6.31,"Sales/BD Mgr-Derivatives"
6,"Banking / Insurance",6.32,"Treasury Operations Mgr"
6,"Banking / Insurance",6.33,"Clearing Officer"
6,"Banking / Insurance",6.34,"Cash Officer"
6,"Banking / Insurance",6.35,"Operations Officer"
6,"Banking / Insurance",6.36,"Operations Mgr"
6,"Banking / Insurance",6.37,"Depository Services-Exec./Mgr"
6,"Banking / Insurance",6.38,"Legal Officer"
6,"Banking / Insurance",6.39,"Legal Mgr"
6,"Banking / Insurance",6.4,"Operations Mgr"
6,"Banking / Insurance",6.41,"Trade Finance Operations Mgr"
6,"Banking / Insurance",6.42,"Technology Mgr"
6,"Banking / Insurance",6.43,"ATM Operations Mgr"
6,"Banking / Insurance",6.44,"Audit Mgr"
6,"Banking / Insurance",6.45,"Finance/Budgeting Mgr"
6,"Banking / Insurance",6.46,"Relationship Exec."
6,"Banking / Insurance",6.47,"Client Servicing/Key Account Mgr"
6,"Banking / Insurance",6.48,"Credit Analyst-Corporate Banking"
6,"Banking / Insurance",6.49,"Credit Mgr-Corporate Banking"
6,"Banking / Insurance",6.5,"Bad Debts/Workouts Mgr"
6,"Banking / Insurance",6.52,"Debt Analyst"
6,"Banking / Insurance",6.53,"Mergers & Acquisitions Analyst"
6,"Banking / Insurance",6.54,"Equity Analyst"
6,"Banking / Insurance",6.55,"Equity Mgr"
6,"Banking / Insurance",6.56,"Domestic Debt Mgr"
6,"Banking / Insurance",6.57,"Offshore Debt Mgr"
6,"Banking / Insurance",6.58,"Mergers&Acquisitions Mgr"
6,"Banking / Insurance",6.59,"Corporate Advisory Mgr"
6,"Banking / Insurance",6.6,"Project Finance Mgr"
6,"Banking / Insurance",6.61,"Issues/IPO Mgr"
6,"Banking / Insurance",6.62,"Legal Officer"
6,"Banking / Insurance",6.63,"Legal Mgr"
6,"Banking / Insurance",6.64,"Insurance Analyst"
6,"Banking / Insurance",6.65,"Actuary Mgr"
6,"Banking / Insurance",6.66,"Underwriter"
6,"Banking / Insurance",6.67,"Insurance Advisor"
6,"Banking / Insurance",6.68,"Unit Mgr"
6,"Banking / Insurance",6.69,"Sales/BD-Mgr"
6,"Banking / Insurance",6.7,"Branch Mgr"
6,"Banking / Insurance",6.71,"Product Mgr"
6,"Banking / Insurance",6.72,"Sales Head"
6,"Banking / Insurance",6.73,"Regional Mgr"
6,"Banking / Insurance",6.74,"Legal Officer"
6,"Banking / Insurance",6.75,"Legal Mgr"
6,"Banking / Insurance",6.77,"Insurance Analyst"
6,"Banking / Insurance",6.78,"Actuary Mgr"
6,"Banking / Insurance",6.79,"Underwriter"
6,"Banking / Insurance",6.8,"Head-Underwriting"
6,"Banking / Insurance",6.81,"Insurance Advisor"
6,"Banking / Insurance",6.82,"Unit Mgr"
6,"Banking / Insurance",6.83,"Sales/BD-Mgr"
6,"Banking / Insurance",6.84,"Branch Mgr"
6,"Banking / Insurance",6.85,"Product Mgr"
6,"Banking / Insurance",6.86,"Sales Head"
6,"Banking / Insurance",6.87,"Regional Mgr"
6,"Banking / Insurance",6.88,"Legal Officer"
6,"Banking / Insurance",6.89,"Legal Mgr"
6,"Banking / Insurance",6.9,"Banc Assurance"
6,"Banking / Insurance",6.91,"Insurance Operations Officer"
6,"Banking / Insurance",6.92,"Insurance Operations Mgr"
6,"Banking / Insurance",6.93,"CRM/Cust. Service Exec."
6,"Banking / Insurance",6.94,"CRM/Cust. Service Mgr"
6,"Banking / Insurance",6.95,"Claims Exec."
6,"Banking / Insurance",6.96,"Claims Mgr"
6,"Banking / Insurance",6.97,"Investment/Treasury Mgr"
6,"Banking / Insurance",6.98,"Analyst"
6,"Banking / Insurance",6.99,"Broker/Trader"
6,"Banking / Insurance",6.1,"Sales/BD Mgr-Broking"
6,"Banking / Insurance",6.101,"Sales Exec./Investment Advisor"
6,"Banking / Insurance",6.102,"Sales/BD Mgr"
6,"Banking / Insurance",6.103,"Mktg Mgr"
6,"Banking / Insurance",6.104,"Portfolio Mgr"
6,"Banking / Insurance",6.105,"Analyst"
6,"Banking / Insurance",6.106,"CRM/Cust. Service Exec."
6,"Banking / Insurance",6.107,"CRM/Cust. Service Mgr"
6,"Banking / Insurance",6.108,"Operations Exec."
6,"Banking / Insurance",6.109,"Operations Mgr"
6,"Banking / Insurance",6.11,"Fund Mgr-Debt"
6,"Banking / Insurance",6.111,"Fund Mgr-Equity"
6,"Banking / Insurance",6.112,"Private Equity/Hedge Fund/VC-Mgr"
6,"Banking / Insurance",6.113,"Head/VP/GM-Treasury"
6,"Banking / Insurance",6.114,"Head/VP/GM-Legal"
6,"Banking / Insurance",6.115,"Head/VP/GM-Operations"
6,"Banking / Insurance",6.116,"Head/VP/GM-CFO/Financial Controller"
6,"Banking / Insurance",6.117,"Head/VP/GM-Depository Services"
6,"Banking / Insurance",6.118,"Head/VP/GM-Relationships"
6,"Banking / Insurance",6.119,"Head/VP/GM-Credit/Risk"
6,"Banking / Insurance",6.12,"Head/VP/GM-Equity"
6,"Banking / Insurance",6.121,"Head/VP/GM-Domestic/Offshore Debt"
6,"Banking / Insurance",6.122,"Head/VP/GM-Mergers & Acquisitions"
6,"Banking / Insurance",6.123,"Head/VP/GM-Corporate Advisory"
6,"Banking / Insurance",6.124,"Head/VP/GM-Project Finance"
6,"Banking / Insurance",6.125,"Head/VP/GM-Investment Banking"
6,"Banking / Insurance",6.126,"Head/VP/GM-Underwritting"
6,"Banking / Insurance",6.127,"Head/VP/GM-Mktg"
6,"Banking / Insurance",6.128,"Head/VP/GM-Insurance Operations"
6,"Banking / Insurance",6.129,"Head/VP/GM-Claims"
6,"Banking / Insurance",6.13,"Head/VP/GM-Sales"
6,"Banking / Insurance",6.131,"Head/VP/GM-Fund Management"
6,"Banking / Insurance",6.132,"Head/VP/GM-Private Equity/HedgeFund/VC"
6,"Banking / Insurance",6.133,"Head/VP/GM-Broking"
,,,
21,"Engineering Design / R&D",21.01,"R&D Exec."
21,"Engineering Design / R&D",21.02,"Clinical Research Associate/Scientist"
21,"Engineering Design / R&D",21.03,"Clinical Research Mgr"
21,"Engineering Design / R&D",21.04,"Analytical Chemistry Associate/Scientist"
21,"Engineering Design / R&D",21.05,"Analytical Chemistry Mgr"
21,"Engineering Design / R&D",21.06,"Chemical Research Associate/Scientist"
21,"Engineering Design / R&D",21.07,"Chemical Research Mgr"
21,"Engineering Design / R&D",21.08,"Bio/Pharma Informatics-Associate/Scientist"
21,"Engineering Design / R&D",21.09,"Formulation Scientists"
21,"Engineering Design / R&D",21.1,"Microbiologist"
21,"Engineering Design / R&D",21.11,"Molecular Biology"
21,"Engineering Design / R&D",21.13,"Nutritionist"
21,"Engineering Design / R&D",21.14,"Research Scientist"
21,"Engineering Design / R&D",21.15,"Bio-Tech Research Associate/Scientist"
21,"Engineering Design / R&D",21.16,"Bio-Tech Research Mgr"
21,"Engineering Design / R&D",21.17,"Pharmacist/Chemist/Bio Chemist"
21,"Engineering Design / R&D",21.18,"Bio-Statistician"
21,"Engineering Design / R&D",21.19,"Lab Technician/Medical Technician/LabStaff"
21,"Engineering Design / R&D",21.2,"Product Development Exec."
21,"Engineering Design / R&D",21.21,"Product Development Mgr"
21,"Engineering Design / R&D",21.22,"Drug Regulatory Dr."
21,"Engineering Design / R&D",21.23,"Documentation/Medical Writing"
21,"Engineering Design / R&D",21.24,"Regulatory Affairs Mgr"
21,"Engineering Design / R&D",21.25,"QA&QC-Executive"
21,"Engineering Design / R&D",21.26,"QA&QC Mgr"
21,"Engineering Design / R&D",21.27,"Design Engineer"
21,"Engineering Design / R&D",21.28,"Sr. Design Engineer"
21,"Engineering Design / R&D",21.29,"Tech. Lead/Project Lead"
21,"Engineering Design / R&D",21.3,"Head/VP/GM-R&D"
21,"Engineering Design / R&D",21.31,"Head/VP/GM-Production"
21,"Engineering Design / R&D",21.32,"Head/VP/GM-Formulations"
21,"Engineering Design / R&D",21.33,"Head/VP/GM-QA/QC"
21,"Engineering Design / R&D",21.34,"Head/VP/GM-Regulatory Affairs"
21,"Engineering Design / R&D",21.35,"Research Associate"
21,"Engineering Design / R&D",21.36,"Fresher"
21,"Engineering Design / R&D",21.39,"Postdoc Position/Fellowship"
21,"Engineering Design / R&D",21.4,"Practical Training/Internship"
21,"Engineering Design / R&D",21.38,"Trainee"
,,,
12,"HR / Administration / IR",12.01,"HR Exec."
12,"HR / Administration / IR",12.02,"HR Mgr"
12,"HR / Administration / IR",12.03,"Recruitment Exec."
12,"HR / Administration / IR",12.04,"Recruitment Mgr"
12,"HR / Administration / IR",12.05,"Pay Roll/Compensation Mgr"
12,"HR / Administration / IR",12.06,"Performance Mgmt Mgr"
12,"HR / Administration / IR",12.07,"Industrial/Labour Relations Mgr"
12,"HR / Administration / IR",12.08,"Training Mgr"
12,"HR / Administration / IR",12.09,"Admin/Facilities Exec."
12,"HR / Administration / IR",12.1,"Admin/Facilities Mgr"
12,"HR / Administration / IR",12.11,"Head/VP/GM-HR"
12,"HR / Administration / IR",12.12,"Head/VP/GM-Training & Development"
12,"HR / Administration / IR",12.13,"Head/VP/GM-Admin & Facilities"
12,"HR / Administration / IR",12.14,"Head/VP/GM-Recruitment"
12,"HR / Administration / IR",12.15,"Outside Consultant"
12,"HR / Administration / IR",12.17,"Trainee"
12,"HR / Administration / IR",12.18,"Fresher"
,,,
8,"ITES / BPO / KPO / Customer Service / Operations",8.01,"Associate/Sr. Associate -(NonTechnical)"
8,"ITES / BPO / KPO / Customer Service / Operations",8.02,"Associate/Sr. Associate -(Technical)"
8,"ITES / BPO / KPO / Customer Service / Operations",8.03,"Team Leader -(NonTechnical)"
8,"ITES / BPO / KPO / Customer Service / Operations",8.04,"Team Leader -(Technical)"
8,"ITES / BPO / KPO / Customer Service / Operations",8.05,"Asst. Mgr/Mgr -(NonTechnical)"
8,"ITES / BPO / KPO / Customer Service / Operations",8.06,"Asst. Mgr/Mgr (Technical)"
8,"ITES / BPO / KPO / Customer Service / Operations",8.07,"Tecalling/Telemarketing Exec."
8,"ITES / BPO / KPO / Customer Service / Operations",8.08,"Associate/Sr. Associate -(NonTechnical)"
8,"ITES / BPO / KPO / Customer Service / Operations",8.09,"Associate/Sr. Associate -(Technical)"
8,"ITES / BPO / KPO / Customer Service / Operations",8.1,"Team Leader -(NonTechnical)"
8,"ITES / BPO / KPO / Customer Service / Operations",8.11,"Team Leader -(Technical)"
8,"ITES / BPO / KPO / Customer Service / Operations",8.12,"Asst. Mgr/Mgr -(Technical)"
8,"ITES / BPO / KPO / Customer Service / Operations",8.13,"Asst. Mgr / Mgr -(NonTechnical)"
8,"ITES / BPO / KPO / Customer Service / Operations",8.14,"Process Flow Analyst"
8,"ITES / BPO / KPO / Customer Service / Operations",8.15,"Business/EDP Analyst"
8,"ITES / BPO / KPO / Customer Service / Operations",8.16,"BD Mgr"
8,"ITES / BPO / KPO / Customer Service / Operations",8.17,"Transitions/Migrations Mgr"
8,"ITES / BPO / KPO / Customer Service / Operations",8.18,"Operations Mgr"
8,"ITES / BPO / KPO / Customer Service / Operations",8.19,"Infrastructure & Technology Mgr"
8,"ITES / BPO / KPO / Customer Service / Operations",8.2,"Dialer Mgr"
8,"ITES / BPO / KPO / Customer Service / Operations",8.21,"Technical/Process Trainer"
8,"ITES / BPO / KPO / Customer Service / Operations",8.22,"Voice & Accent Trainer"
8,"ITES / BPO / KPO / Customer Service / Operations",8.23,"Soft Skills Trainer"
8,"ITES / BPO / KPO / Customer Service / Operations",8.24,"QA/QC Exec."
8,"ITES / BPO / KPO / Customer Service / Operations",8.25,"QA/QC Mgr"
8,"ITES / BPO / KPO / Customer Service / Operations",8.26,"Quality Coach"
8,"ITES / BPO / KPO / Customer Service / Operations",8.27,"Team Leader-QA/QC"
8,"ITES / BPO / KPO / Customer Service / Operations",8.28,"Head/VP/GM-Operations"
8,"ITES / BPO / KPO / Customer Service / Operations",8.29,"Head/VP/GM-Training & Development"
8,"ITES / BPO / KPO / Customer Service / Operations",8.3,"Head/VP/GM-Transitions"
8,"ITES / BPO / KPO / Customer Service / Operations",8.31,"Service Delivery Leader"
8,"ITES / BPO / KPO / Customer Service / Operations",8.32,"Head/VP/GM-QA & QC"
8,"ITES / BPO / KPO / Customer Service / Operations",8.33,"Medical Transcriptionist"
8,"ITES / BPO / KPO / Customer Service / Operations",8.34,"Fresher"
8,"ITES / BPO / KPO / Customer Service / Operations",8.35,"Trainee"
8,"ITES / BPO / KPO / Customer Service / Operations",8.36,"Outside Consultant"
,,,
15,"Marketing / Advertising / MR /  PR",15.08,"Client Servicing Exec."
15,"Marketing / Advertising / MR /  PR",15.09,"Client Servicing/Key Account Mgr"
15,"Marketing / Advertising / MR /  PR",15.1,"Account Director"
15,"Marketing / Advertising / MR /  PR",15.11,"Creative Director"
15,"Marketing / Advertising / MR /  PR",15.12,"Media Planning Exec./Mgr"
15,"Marketing / Advertising / MR /  PR",15.13,"Media Buying Exec./Mgr"
15,"Marketing / Advertising / MR /  PR",15.14,"Events/Promotion Exec."
15,"Marketing / Advertising / MR /  PR",15.15,"Events/Promotion Mgr"
15,"Marketing / Advertising / MR /  PR",15.01,"Corp. Communication Exec."
15,"Marketing / Advertising / MR /  PR",15.02,"Direct Mktg Exec."
15,"Marketing / Advertising / MR /  PR",15.03,"Direct Mktg Mgr"
15,"Marketing / Advertising / MR /  PR",15.04,"Product Exec."
15,"Marketing / Advertising / MR /  PR",15.05,"Product/Brand Mgr"
15,"Marketing / Advertising / MR /  PR",15.06,"Business Alliances Mgr"
15,"Marketing / Advertising / MR /  PR",15.07,"Mktg Mgr"
15,"Marketing / Advertising / MR /  PR",15.16,"Art Director/Sr Art Director"
15,"Marketing / Advertising / MR /  PR",15.17,"Visualiser"
15,"Marketing / Advertising / MR /  PR",15.18,"Copywriter"
15,"Marketing / Advertising / MR /  PR",15.19,"Graphic Designer"
15,"Marketing / Advertising / MR /  PR",15.2,"MR Exec./Mgr"
15,"Marketing / Advertising / MR /  PR",15.21,"MR Field Supervisor"
15,"Marketing / Advertising / MR /  PR",15.22,"PR Exec."
15,"Marketing / Advertising / MR /  PR",15.23,"PR & Media Relations Mgr"
15,"Marketing / Advertising / MR /  PR",15.24,"Head/Mgr/GM-Media Planning"
15,"Marketing / Advertising / MR /  PR",15.25,"Head/Mgr/GM-Media Buying"
15,"Marketing / Advertising / MR /  PR",15.26,"Head/VP/GM-PR/Corp. Communication"
15,"Marketing / Advertising / MR /  PR",15.27,"Head/VP/GM-Mktg"
15,"Marketing / Advertising / MR /  PR",15.28,"Head/VP/GM-Business Alliances"
15,"Marketing / Advertising / MR /  PR",15.29,"Head/VP/GM- MR"
15,"Marketing / Advertising / MR /  PR",15.3,"Head/VP/GM-Client Servicing"
15,"Marketing / Advertising / MR /  PR",15.31,"National Creative Director/VP-Creative"
15,"Marketing / Advertising / MR /  PR",15.33,"Outside Consultant"
15,"Marketing / Advertising / MR /  PR",15.34,"Trainee"
15,"Marketing / Advertising / MR /  PR",15.35,"Fresher"
,,,
19,"Production / Maintenance / Quality",19.01,"Industrial Engnr"
19,"Production / Maintenance / Quality",19.02,"Design Engnr/Mgr"
19,"Production / Maintenance / Quality",19.03,"Factory Head"
19,"Production / Maintenance / Quality",19.04,"Engineering Mgr"
19,"Production / Maintenance / Quality",19.05,"Production Mgr"
19,"Production / Maintenance / Quality",19.06,"QA/QC Exec."
19,"Production / Maintenance / Quality",19.07,"QA/QC Mgr"
19,"Production / Maintenance / Quality",19.08,"Product Development Exec."
19,"Production / Maintenance / Quality",19.09,"Product Development Mgr"
19,"Production / Maintenance / Quality",19.1,"Workman/Foreman/Technician"
19,"Production / Maintenance / Quality",19.11,"Service/Maintenance Engnr"
19,"Production / Maintenance / Quality",19.12,"Service/Maintenance Supervisor"
19,"Production / Maintenance / Quality",19.13,"Project Mgr-Production/Manufacturing/Maintenance"
19,"Production / Maintenance / Quality",19.14,"Safety Officer/Mgr"
19,"Production / Maintenance / Quality",19.15,"Environment Engnr/Officer"
19,"Production / Maintenance / Quality",19.16,"Health-Officer/Mgr"
19,"Production / Maintenance / Quality",19.17,"Head/VP/GM-QA/QC"
19,"Production / Maintenance / Quality",19.18,"Head/VP/GM-Production/Manufacturing/Maintenance"
19,"Production / Maintenance / Quality",19.19,"Head/VP/GM-Operations"
19,"Production / Maintenance / Quality",19.2,"SBU Head/Profit Centre Head"
19,"Production / Maintenance / Quality",19.21,"Head/VP/GM-Regulatory Affairs"
19,"Production / Maintenance / Quality",19.22,"Outside Consultant"
19,"Production / Maintenance / Quality",19.23,"Trainee"
19,"Production / Maintenance / Quality",19.24,"Fresher"
,,,
22,"Sales / BD",22.01,"Sales Exec./Officer"
22,"Sales / BD",22.02,"Counter Sales"
22,"Sales / BD",22.03,"Medical Rep."
22,"Sales / BD",22.04,"Merchandiser"
22,"Sales / BD",22.05,"Sales/BD Mgr"
22,"Sales / BD",22.06,"Sales Promotion Mgr"
22,"Sales / BD",22.07,"Retail Store Mgr"
22,"Sales / BD",22.08,"Branch Mgr"
22,"Sales / BD",22.09,"Regional Mgr"
22,"Sales / BD",22.1,"Sales Exec./Officer"
22,"Sales / BD",22.11,"Sales/BD Mgr"
22,"Sales / BD",22.12,"Client Servicing/Key Account Mgr"
22,"Sales / BD",22.13,"Branch Mgr/Regional Mgr"
22,"Sales / BD",22.14,"Sales Exec./Officer"
22,"Sales / BD",22.15,"Sales/BD Mgr"
22,"Sales / BD",22.16,"Sales Promotion Mgr"
22,"Sales / BD",22.17,"Banquet Sales Exec./Mgr"
22,"Sales / BD",22.18,"Institutional Sales/BD Mgr"
22,"Sales / BD",22.19,"Sales Trainer"
22,"Sales / BD",22.2,"Telesales/Telemarketing Exec./Officer"
22,"Sales / BD",22.21,"Sales Promotion Mgr"
22,"Sales / BD",22.22,"Front Desk/Cashier/Billing"
22,"Sales / BD",22.23,"Head/VP/GM/National Mgr -Sales"
22,"Sales / BD",22.26,"Trainee"
22,"Sales / BD",22.27,"Fresher"
,,,
11,"Secretary / Front Office / Data Entry",11.01,"Stenographer/Data Entry Operator"
11,"Secretary / Front Office / Data Entry",11.02,"Receptionist"
11,"Secretary / Front Office / Data Entry",11.03,"Secretary/PA"
11,"Secretary / Front Office / Data Entry",11.05,"Fresher"
11,"Secretary / Front Office / Data Entry",11.06,"Trainee"
,,,
20,"Site Engineering / Project Management",20.01,"Project Mgr-Telecom"
20,"Site Engineering / Project Management",20.02,"Project Mgr-IT/Software"
20,"Site Engineering / Project Management",20.03,"Project Mgr-Production/Manufacturing/Maintenance"
20,"Site Engineering / Project Management",20.04,"Civil Engnr-Telecom"
20,"Site Engineering / Project Management",20.05,"Civil Engnr-Municipal"
20,"Site Engineering / Project Management",20.06,"Civil Engnr-Water/Wastewater"
20,"Site Engineering / Project Management",20.07,"Civil Engnr-Land Development"
20,"Site Engineering / Project Management",20.08,"Civil Engnr-Aviation"
20,"Site Engineering / Project Management",20.09,"Civil Engnr-Highway Roadway"
20,"Site Engineering / Project Management",20.1,"Civil Engnr-Traffic"
20,"Site Engineering / Project Management",20.12,"Electrical Engnr-Telecom"
20,"Site Engineering / Project Management",20.13,"Electrical Engnr-Commercial"
20,"Site Engineering / Project Management",20.14,"Electrical Engnr-Industrial"
20,"Site Engineering / Project Management",20.15,"Electrical Engnr-Utility"
